timestamp,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,satellites_used,battery_remaining
1783578382.2534137,-0.10468601,0.06309577,-39.689747,0.08949532,-0.06802572,1.5123405,10,0.5000267028808594
1783578382.353227,-0.10371576,0.060472764,-39.545753,0.09345037,-0.07166059,1.5124235,10,0.5000267028808594
1783578382.4532225,-0.102536455,0.05667234,-39.389923,0.09645285,-0.07588665,1.5125536,10,0.5000267028808594
1783578382.5532742,-0.101385884,0.052501936,-39.246174,0.09841111,-0.07965043,1.5124638,10,0.5000267028808594
1783578382.6531458,-0.100342885,0.04728521,-39.090023,0.0994595,-0.08305449,1.5130452,10,0.5000267028808594
1783578382.7531016,-0.099322215,0.04226629,-38.945374,0.10020039,-0.08520161,1.5131149,10,0.5000267028808594
1783578382.853163,-0.097629905,0.03657628,-38.788044,0.10117712,-0.08650348,1.5128416,10,0.5000267028808594
1783578382.9531617,-0.09523891,0.031373996,-38.64253,0.102389835,-0.08620869,1.511913,10,0.5000267028808594
1783578383.0532627,-0.0921917,0.026064824,-38.48519,0.10324715,-0.084933765,1.5108086,10,0.5000267028808594
1783578383.1531415,-0.08910687,0.021727726,-38.34036,0.10369022,-0.08240497,1.5094887,10,0.5000267028808594
1783578383.2533424,-0.08479506,0.017854076,-38.184303,0.10458528,-0.07871644,1.5083677,10,0.5000267028808594
1783578383.3532033,-0.08014396,0.015068778,-38.04146,0.10548158,-0.074619666,1.5076572,10,0.5000267028808594
1783578383.4531758,-0.07432324,0.012537641,-37.886642,0.10640961,-0.06994971,1.5081719,10,0.5000267028808594
1783578383.55312,-0.06826201,0.010608692,-37.744137,0.10683095,-0.06592542,1.5089526,10,0.5000267028808594
1783578383.6531243,-0.061184447,0.008548891,-37.58973,0.10666874,-0.06213018,1.5101641,10,0.5000267028808594
1783578383.7531471,-0.055116735,0.0065795872,-37.446735,0.10510498,-0.05925042,1.5115199,10,0.5000267028808594
1783578383.8532221,-0.049046103,0.004143528,-37.29103,0.10228756,-0.056578152,1.5129863,10,0.5000267028808594
1783578383.953137,-0.043543767,0.0022870281,-37.14673,0.09844203,-0.05458683,1.5136989,10,0.5000267028808594
1783578384.0531552,-0.03754834,0.001318676,-36.99011,0.093874685,-0.05139355,1.5140799,10,0.5000267028808594
1783578384.15317,-0.032385577,0.0014493904,-36.845577,0.08924869,-0.047811106,1.5140318,10,0.5000267028808594
1783578384.2531455,-0.02768244,0.0019731382,-36.68925,0.08316201,-0.044100042,1.5138057,10,0.5000267028808594
1783578384.3532658,-0.024348058,0.0021226362,-36.545372,0.077309266,-0.04135866,1.5133642,10,0.5000267028808594
1783578384.453161,-0.021692822,0.0018030403,-36.38929,0.07058604,-0.0396301,1.5134718,10,0.5000267028808594
1783578384.5532372,-0.019771574,0.0012687697,-36.245247,0.06457014,-0.038488984,1.5130805,10,0.5000267028808594
1783578384.653149,-0.017841833,0.0013356175,-36.089012,0.05835513,-0.036927313,1.5129257,10,0.5000267028808594
1783578384.7531986,-0.016143112,0.0021606835,-35.94442,0.05340869,-0.035058383,1.5125021,10,0.5000267028808594
1783578384.8531282,-0.014072571,0.0030641814,-35.787525,0.049158126,-0.03332323,1.5123422,10,0.5000267028808594
1783578384.953129,-0.012077346,0.0035142822,-35.642006,0.04627403,-0.032452717,1.5120404,10,0.5000267028808594
1783578385.0531983,-0.009622992,0.0038116123,-35.48431,0.043643143,-0.031690165,1.5111119,10,0.5000267028808594
1783578385.1531749,-0.007253388,0.0034307013,-35.33906,0.041324332,-0.031768765,1.509464,10,0.5000267028808594
1783578385.2532787,-0.0045583714,0.0025474757,-35.182526,0.03909319,-0.032375973,1.5075713,10,0.5000267028808594
1783578385.3531892,-0.0018174483,0.0016058142,-35.038532,0.037107054,-0.032803226,1.5065656,10,0.5000267028808594
1783578385.4532058,0.0012510653,0.0002641629,-34.882526,0.034557674,-0.03327115,1.5060205,10,0.5000267028808594
1783578385.5531425,0.003837204,-0.0012863575,-34.738316,0.031921495,-0.033495314,1.5057381,10,0.5000267028808594
1783578385.653202,0.0065921335,-0.0030365356,-34.581863,0.028978521,-0.033854075,1.5056263,10,0.5000267028808594
1783578385.7533357,0.009448633,-0.00432432,-34.437225,0.026265278,-0.0333289,1.5051608,10,0.5000267028808594
1783578385.8532107,0.012356851,-0.0057977894,-34.280407,0.023667036,-0.0324187,1.5047628,10,0.5000267028808594
1783578385.9531126,0.014717642,-0.007347137,-34.135727,0.021260133,-0.031632755,1.5041728,10,0.5000267028808594
1783578386.0531735,0.016559707,-0.008687724,-33.979347,0.018215332,-0.030546982,1.503636,10,0.5000267028808594
1783578386.153194,0.018121216,-0.009314572,-33.83563,0.015951803,-0.028907059,1.5029263,10,0.5000267028808594
1783578386.2531846,0.020100204,-0.009174033,-33.68016,0.013938999,-0.026862727,1.5026876,10,0.5000267028808594
1783578386.353185,0.021966808,-0.008541443,-33.5369,0.012534244,-0.024712903,1.5030073,10,0.5000267028808594
1783578386.4531627,0.023960615,-0.007452965,-33.382122,0.010533743,-0.02218406,1.5036305,10,0.5000267028808594
1783578386.5531836,0.02606038,-0.0061001666,-33.23928,0.008965765,-0.020248462,1.5044018,10,0.5000267028808594
1783578386.6532156,0.02835998,-0.0046461015,-33.084305,0.007176122,-0.018736672,1.5058314,10,0.5000267028808594
1783578386.7532105,0.029959172,-0.0032210862,-32.941196,0.0051979455,-0.01770208,1.5068725,10,0.5000267028808594
1783578386.8534377,0.03098481,-0.0019354039,-32.785885,0.0023107799,-0.017565569,1.5081738,10,0.5000267028808594
1783578386.9532874,0.03144384,-0.001306418,-32.642303,-0.00077347335,-0.01825547,1.5089008,10,0.5000267028808594
1783578387.0532281,0.031931404,-0.00090897037,-32.48639,-0.003951282,-0.01906797,1.5097638,10,0.5000267028808594
1783578387.153291,0.032393277,-0.0005896258,-32.3422,-0.0063860826,-0.01953977,1.5099186,10,0.5000267028808594
1783578387.253236,0.032877836,0.00012272102,-32.186382,-0.009005953,-0.019652162,1.5101153,10,0.5000267028808594
1783578387.3531528,0.033571944,0.0007627484,-32.042694,-0.011051637,-0.019623924,1.5098096,10,0.5000267028808594
1783578387.453197,0.03463432,0.0015398692,-31.887318,-0.012506693,-0.019294271,1.5098673,10,0.5000267028808594
1783578387.553245,0.03610735,0.0024884613,-31.743582,-0.0129535785,-0.018913819,1.5102701,10,0.5000267028808594
1783578387.653253,0.037624914,0.0033628556,-31.587513,-0.013816117,-0.018903237,1.5109452,10,0.5000267028808594
1783578387.753178,0.038978327,0.0043363725,-31.443186,-0.014456373,-0.019136032,1.5111947,10,0.5000267028808594
1783578387.8532138,0.04023267,0.0055666347,-31.287083,-0.015585026,-0.019538099,1.5110939,10,0.5000267028808594
1783578387.95316,0.040994167,0.0062547303,-31.142916,-0.017263103,-0.02050204,1.5112085,10,0.5000267028808594
1783578388.0531914,0.041861266,0.0067083403,-30.986538,-0.01912443,-0.021900922,1.5113815,10,0.5000267028808594
1783578388.15341,0.042771053,0.007662818,-30.84215,-0.02067311,-0.022390343,1.5108098,10,0.5000267028808594
